,,,,,,,,,
REF_STATE_NAME,REF_COUNTY_NAME,REF_COMMUN_NAME,PRODUCT_EFFECTIVE_DATE,,,,,,
,,"FRASER, TOWNSHIP OF",9/17/10,,,,,,
,,"FRASER, TOWNSHIP OF Total",,,,,,,
,,"GARFIELD, TOWNSHIP OF",9/17/10,,,,,,
,,"GARFIELD, TOWNSHIP OF Total",,,,,,,
,,"GIBSON, TOWNSHIP OF",9/17/10,,,,,,
,,"GIBSON, TOWNSHIP OF Total",,,,,,,
,,"HAMPTON, TOWNSHIP OF",9/17/10,,,,,,
,,"HAMPTON, TOWNSHIP OF Total",,,,,,,
,,"KAWKAWLIN, TOWNSHIP OF",9/17/10,,,,,,
,,"KAWKAWLIN, TOWNSHIP OF Total",,,,,,,
,,"MERRITT, TOWNSHIP OF",9/17/10,,,,,,
,,"MERRITT, TOWNSHIP OF Total",,,,,,,
,,"MIDLAND, CITY OF",5/4/09,,,,,,
,,"MIDLAND, CITY OF Total",,,,,,,
,,"MONITOR, TOWNSHIP OF",9/17/10,,,,,,
,,"MONITOR, TOWNSHIP OF Total",,,,,,,
,,"MOUNT FOREST, TOWNSHIP OF",9/17/10,,,,,,
,,"MOUNT FOREST, TOWNSHIP OF Total",,,,,,,
,,"PINCONNING, CITY OF",9/17/10,,,,,,
,,"PINCONNING, CITY OF Total",,,,,,,
,,"PINCONNING, TOWNSHIP OF",9/17/10,,,,,,
,,"PINCONNING, TOWNSHIP OF Total",,,,,,,
,,"PORTSMOUTH, TOWNSHIP OF",9/17/10,,,,,,
,,"PORTSMOUTH, TOWNSHIP OF Total",,,,,,,
,,"WILLIAMS, TOWNSHIP OF",9/17/10,,,,,,
,,"WILLIAMS, TOWNSHIP OF Total",,,,,,,
,BAY COUNTY Total,,,,,,,,
,BENZIE COUNTY,"BLAINE, TOWNSHIP OF",11/20/00,,,,,,
,,"BLAINE, TOWNSHIP OF Total",,,,,,,
,,"CRYSTAL LAKE, TOWNSHIP OF",6/19/89,,,,,,
,,"CRYSTAL LAKE, TOWNSHIP OF Total",,,,,,,
,,"FRANKFORT, CITY OF",3/18/91,,,,,,
,,"FRANKFORT, CITY OF Total",,,,,,,
,,"LAKE, TOWNSHIP OF",6/5/89,,,,,,
,,"LAKE, TOWNSHIP OF Total",,,,,,,
,BENZIE COUNTY Total,,,,,,,,
,BERRIEN COUNTY,"BAINBRIDGE, TOWNSHIP OF",4/17/06,,,,,,
,,"BAINBRIDGE, TOWNSHIP OF Total",,,,,,,
,,"BARODA, TOWNSHIP OF",4/17/06,,,,,,
,,"BARODA, TOWNSHIP OF Total",,,,,,,
,,"BENTON HARBOR, CITY OF",4/17/06,,,,,,
,,"BENTON HARBOR, CITY OF Total",,,,,,,
,,"BENTON, TOWNSHIP OF",4/17/06,,,,,,
,,"BENTON, TOWNSHIP OF Total",,,,,,,
,,BERRIEN COUNTY ALL JURISDICTIONS,4/17/06,,,,,,
,,BERRIEN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"BERRIEN SPRINGS, VILLAGE OF",4/17/06,,,,,,
,,"BERRIEN SPRINGS, VILLAGE OF Total",,,,,,,
,,"BERRIEN, TOWNSHIP OF",4/17/06,,,,,,
,,"BERRIEN, TOWNSHIP OF Total",,,,,,,
,,"BERTRAND, TOWNSHIP OF",4/17/06,,,,,,
,,"BERTRAND, TOWNSHIP OF Total",,,,,,,
,,"BRIDGMAN, CITY OF",4/17/06,,,,,,
,,"BRIDGMAN, CITY OF Total",,,,,,,
,,"BUCHANAN, CITY OF",4/17/06,,,,,,
,,"BUCHANAN, CITY OF Total",,,,,,,
,,"BUCHANAN, TOWNSHIP OF",4/17/06,,,,,,
,,"BUCHANAN, TOWNSHIP OF Total",,,,,,,
,,"CHIKAMING, TOWNSHIP OF",4/17/06,,,,,,
,,"CHIKAMING, TOWNSHIP OF Total",,,,,,,
,,"COLOMA, CITY OF",4/17/06,,,,,,
,,"COLOMA, CITY OF Total",,,,,,,
,,"COLOMA, TOWNSHIP OF",4/17/06,,,,,,
,,"COLOMA, TOWNSHIP OF Total",,,,,,,
,,"EAU CLAIRE, VILLAGE OF",4/17/06,,,,,,
,,"EAU CLAIRE, VILLAGE OF Total",,,,,,,
,,"GALIEN, TOWNSHIP OF",4/17/06,,,,,,
,,"GALIEN, TOWNSHIP OF Total",,,,,,,
,,"GALIEN, VILLAGE OF",4/17/06,,,,,,
,,"GALIEN, VILLAGE OF Total",,,,,,,
,,"GRAND BEACH, VILLAGE OF",4/17/06,,,,,,
,,"GRAND BEACH, VILLAGE OF Total",,,,,,,
,,"HAGAR, TOWNSHIP OF",4/17/06,,,,,,
,,"HAGAR, TOWNSHIP OF Total",,,,,,,
,,"LAKE, TOWNSHIP OF",4/17/06,,,,,,
,,"LAKE, TOWNSHIP OF Total",,,,,,,
,,"LINCOLN, TOWNSHIP OF",4/17/06,,,,,,
,,"LINCOLN, TOWNSHIP OF Total",,,,,,,
,,"MICHIANA, VILLAGE OF",4/17/06,,,,,,
,,"MICHIANA, VILLAGE OF Total",,,,,,,
,,"NEW BUFFALO, CITY OF",4/17/06,,,,,,
,,"NEW BUFFALO, CITY OF Total",,,,,,,
,,"NEW BUFFALO, TOWNSHIP OF",4/17/06,,,,,,
,,"NEW BUFFALO, TOWNSHIP OF Total",,,,,,,
,,"NILES, TOWNSHIP OF",4/17/06,,,,,,
,,"NILES, TOWNSHIP OF Total",,,,,,,
,,"NILES,CITY OF",4/17/06,,,,,,
,,"NILES,CITY OF Total",,,,,,,
,,"ORONOKO, TOWNSHIP OF",4/17/06,,,,,,
,,"ORONOKO, TOWNSHIP OF Total",,,,,,,
,,"PIPESTONE, TOWNSHIP",4/17/06,,,,,,
,,"PIPESTONE, TOWNSHIP Total",,,,,,,
,,"ROYALTON, TOWNSHIP OF",4/17/06,,,,,,
,,"ROYALTON, TOWNSHIP OF Total",,,,,,,
,,"SHOREHAM, VILLAGE OF",4/17/06,,,,,,
,,"SHOREHAM, VILLAGE OF Total",,,,,,,
,,"SODUS, TOWNSHIP OF",4/17/06,,,,,,
,,"SODUS, TOWNSHIP OF Total",,,,,,,
,,"ST. JOSEPH, CITY OF",4/17/06,,,,,,
,,"ST. JOSEPH, CITY OF Total",,,,,,,
,,"ST. JOSEPH, TOWNSHIP OF",4/17/06,,,,,,
,,"ST. JOSEPH, TOWNSHIP OF Total",,,,,,,
,,"STEVENSVILLE, VILLAGE OF",4/17/06,,,,,,
,,"STEVENSVILLE, VILLAGE OF Total",,,,,,,
,,"THREE OAKS, TOWNSHIP OF",4/17/06,,,,,,
,,"THREE OAKS, TOWNSHIP OF Total",,,,,,,
,,"WATERVLIET, CITY OF",4/17/06,,,,,,
,,"WATERVLIET, CITY OF Total",,,,,,,
,,"WATERVLIET, TOWNSHIP OF",4/17/06,,,,,,
,,"WATERVLIET, TOWNSHIP OF Total",,,,,,,
,,"WEESAW, TOWNSHIP OF",4/17/06,,,,,,
,,"WEESAW, TOWNSHIP OF Total",,,,,,,
,BERRIEN COUNTY Total,,,,,,,,
,BRANCH COUNTY,"ALGANSEE, TOWNSHIP OF",4/19/10,,,,,,
,,"ALGANSEE, TOWNSHIP OF Total",,,,,,,
,,"BATAVIA, TOWNSHIP OF",4/19/10,,,,,,
,,"BATAVIA, TOWNSHIP OF Total",,,,,,,
,,"BETHEL, TOWNSHIP OF",4/19/10,,,,,,
,,"BETHEL, TOWNSHIP OF Total",,,,,,,
,,BRANCH COUNTY ALL JURISDICTIONS,4/19/10,,,,,,
,,BRANCH COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"BRONSON, CITY OF",4/19/10,,,,,,
,,"BRONSON, CITY OF Total",,,,,,,
,,"BRONSON, TOWNSHIP OF",4/19/10,,,,,,
,,"BRONSON, TOWNSHIP OF Total",,,,,,,
,,"BUTLER, TOWNSHIP OF",4/19/10,,,,,,
,,"BUTLER, TOWNSHIP OF Total",,,,,,,
,,"CALIFORNIA, TOWNSHIP OF",4/19/10,,,,,,
,,"CALIFORNIA, TOWNSHIP OF Total",,,,,,,
,,"COLDWATER, CITY OF",4/19/10,,,,,,
,,"COLDWATER, CITY OF Total",,,,,,,
,,"COLDWATER, TOWNSHIP OF",4/19/10,,,,,,
,,"COLDWATER, TOWNSHIP OF Total",,,,,,,
,,"GILEAD, TOWNSHIP OF",4/19/10,,,,,,
,,"GILEAD, TOWNSHIP OF Total",,,,,,,
,,"GIRARD, TOWNSHIP OF",4/19/10,,,,,,
,,"GIRARD, TOWNSHIP OF Total",,,,,,,
,,"KINDERHOOK, TOWNSHIP OF",4/19/10,,,,,,
,,"KINDERHOOK, TOWNSHIP OF Total",,,,,,,
,,"MATTESON, TOWNSHIP OF",4/19/10,,,,,,
,,"MATTESON, TOWNSHIP OF Total",,,,,,,
,,"OVID, TOWNSHIP OF",4/19/10,,,,,,
,,"OVID, TOWNSHIP OF Total",,,,,,,
,,"QUINCY, TOWNSHIP OF",4/19/10,,,,,,
,,"QUINCY, TOWNSHIP OF Total",,,,,,,
,,"QUINCY, VILLAGE OF",4/19/10,,,,,,
,,"QUINCY, VILLAGE OF Total",,,,,,,
,,"SHERWOOD, TOWNSHIP OF",4/19/10,,,,,,
,,"SHERWOOD, TOWNSHIP OF Total",,,,,,,
,,"SHERWOOD, VILLAGE OF",4/19/10,,,,,,
,,"SHERWOOD, VILLAGE OF Total",,,,,,,
,,"UNION CITY, VILLAGE OF",4/19/10,,,,,,
,,"UNION CITY, VILLAGE OF Total",,,,,,,
,,"UNION, TOWNSHIP OF",4/19/10,,,,,,
,,"UNION, TOWNSHIP OF Total",,,,,,,
,BRANCH COUNTY Total,,,,,,,,
,CALHOUN COUNTY,"ALBION, CITY OF",4/4/11,,,,,,
,,"ALBION, CITY OF Total",,,,,,,
,,"ALBION, TOWNSHIP OF",4/4/11,,,,,,
,,"ALBION, TOWNSHIP OF Total",,,,,,,
,,"ATHENS, TOWNSHIP OF",4/4/11,,,,,,
,,"ATHENS, TOWNSHIP OF Total",,,,,,,
,,"ATHENS, VILLAGE OF",4/4/11,,,,,,
,,"ATHENS, VILLAGE OF Total",,,,,,,
,,"BATTLE CREEK, CITY OF",4/4/11,,,,,,
,,"BATTLE CREEK, CITY OF Total",,,,,,,
,,"BEDFORD, CHARTER TOWNSHIP OF",4/4/11,,,,,,
,,"BEDFORD, CHARTER TOWNSHIP OF Total",,,,,,,
,,"BURLINGTON, TOWNSHIP OF",4/4/11,,,,,,
,,"BURLINGTON, TOWNSHIP OF Total",,,,,,,
,,"BURLINGTON, VILLAGE OF",4/4/11,,,,,,
,,"BURLINGTON, VILLAGE OF Total",,,,,,,
,,CALHOUN COUNTY ALL JURISDICTIONS,4/4/11,,,,,,
,,CALHOUN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"CLARENCE, TOWNSHIP OF",4/4/11,,,,,,
,,"CLARENCE, TOWNSHIP OF Total",,,,,,,
,,"CLARENDON, TOWNSHIP OF",4/4/11,,,,,,
,,"CLARENDON, TOWNSHIP OF Total",,,,,,,
,,"CONVIS, TOWNSHIP OF",4/4/11,,,,,,
,,"CONVIS, TOWNSHIP OF Total",,,,,,,
,,"ECKFORD, TOWNSHIP OF",4/4/11,,,,,,
,,"ECKFORD, TOWNSHIP OF Total",,,,,,,
,,"EMMETT, TOWNSHIP OF",4/4/11,,,,,,
,,"EMMETT, TOWNSHIP OF Total",,,,,,,
,,"FREDONIA, TOWNSHIP OF",4/4/11,,,,,,
,,"FREDONIA, TOWNSHIP OF Total",,,,,,,
,,"HOMER, TOWNSHIP OF",4/4/11,,,,,,
,,"HOMER, TOWNSHIP OF Total",,,,,,,
,,"HOMER, VILLAGE OF",4/4/11,,,,,,
,,"HOMER, VILLAGE OF Total",,,,,,,
,,"LEE, TOWNSHIP OF",4/4/11,,,,,,
,,"LEE, TOWNSHIP OF Total",,,,,,,
,,"LEROY, TOWNSHIP OF",4/4/11,,,,,,
,,"LEROY, TOWNSHIP OF Total",,,,,,,
,,"MARENGO, TOWNSHIP OF",4/4/11,,,,,,
,,"MARENGO, TOWNSHIP OF Total",,,,,,,
,,"MARSHALL, CITY OF",4/4/11,,,,,,
,,"MARSHALL, CITY OF Total",,,,,,,
,,"MARSHALL, TOWNSHIP OF",4/4/11,,,,,,
,,"MARSHALL, TOWNSHIP OF Total",,,,,,,
,,"NEWTON, TOWNSHIP OF",4/4/11,,,,,,
,,"NEWTON, TOWNSHIP OF Total",,,,,,,
,,"PENNFIELD, TOWNSHIP OF",4/4/11,,,,,,
,,"PENNFIELD, TOWNSHIP OF Total",,,,,,,
,,"SHERIDAN, TOWNSHIP OF",4/4/11,,,,,,
,,"SHERIDAN, TOWNSHIP OF Total",,,,,,,
,,"SPRINGFIELD, CITY OF",4/4/11,,,,,,
,,"SPRINGFIELD, CITY OF Total",,,,,,,
,,"TEKONSHA, TOWNSHIP OF",4/4/11,,,,,,
,,"TEKONSHA, TOWNSHIP OF Total",,,,,,,
,,"TEKONSHA, VILLAGE OF",4/4/11,,,,,,
,,"TEKONSHA, VILLAGE OF Total",,,,,,,
,CALHOUN COUNTY Total,,,,,,,,
,CASS COUNTY,"CALVIN, TOWNSHIP OF",9/5/07,,,,,,
,,"CALVIN, TOWNSHIP OF Total",,,,,,,
,,CASS COUNTY ALL JURISDICTIONS,9/5/07,,,,,,
,,CASS COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"CASSOPOLIS, VILLAGE OF",9/5/07,,,,,,
,,"CASSOPOLIS, VILLAGE OF Total",,,,,,,
,,"DOWAGIAC, CITY OF",9/5/07,,,,,,
,,"DOWAGIAC, CITY OF Total",,,,,,,
,,"EDWARDSBURG, VILLAGE OF",9/5/07,,,,,,
,,"EDWARDSBURG, VILLAGE OF Total",,,,,,,
,,"HOWARD,TOWNSHIP OF",9/5/07,,,,,,
,,"HOWARD,TOWNSHIP OF Total",,,,,,,
,,"JEFFERSON, TOWNSHIP OF",9/5/07,,,,,,
,,"JEFFERSON, TOWNSHIP OF Total",,,,,,,
,,"LAGRANGE, TOWNSHIP OF",9/5/07,,,,,,
,,"LAGRANGE, TOWNSHIP OF Total",,,,,,,
,,"MASON, TOWNSHIP OF",9/5/07,,,,,,
,,"MASON, TOWNSHIP OF Total",,,,,,,
,,"MILTON, TOWNSHIP OF",9/5/07,,,,,,
,,"MILTON, TOWNSHIP OF Total",,,,,,,
,,"NEWBERG, TOWNSHIP OF",9/5/07,,,,,,
,,"NEWBERG, TOWNSHIP OF Total",,,,,,,
,,"ONTWA, TOWNSHIP OF",9/5/07,,,,,,
,,"ONTWA, TOWNSHIP OF Total",,,,,,,
,,"PENN, TOWNSHIP OF",9/5/07,,,,,,
,,"PENN, TOWNSHIP OF Total",,,,,,,
,,"POKAGON, TOWNSHIP OF",9/5/07,,,,,,
,,"POKAGON, TOWNSHIP OF Total",,,,,,,
,,"PORTER, TOWNSHIP OF",9/5/07,,,,,,
,,"PORTER, TOWNSHIP OF Total",,,,,,,
,,"SILVER CREEK, TOWNSHIP OF",9/5/07,,,,,,
,,"SILVER CREEK, TOWNSHIP OF Total",,,,,,,
,,"VANDALIA, VILLAGE OF",9/5/07,,,,,,
,,"VANDALIA, VILLAGE OF Total",,,,,,,
,,"VOLINIA, TOWNSHIP OF",9/5/07,,,,,,
,,"VOLINIA, TOWNSHIP OF Total",,,,,,,
,,"WAYNE, TOWNSHIP OF",9/5/07,,,,,,
,,"WAYNE, TOWNSHIP OF Total",,,,,,,
,CASS COUNTY Total,,,,,,,,
,CHARLEVOIX COUNTY,"BOYNE CITY, CITY OF",7/19/82,,,,,,
,,"BOYNE CITY, CITY OF Total",,,,,,,
,,"CHARLEVOIX, CITY OF",2/11/83,,,,,,
,,"CHARLEVOIX, CITY OF Total",,,,,,,
,,"EAST JORDAN, CITY OF",7/19/82,,,,,,
,,"EAST JORDAN, CITY OF Total",,,,,,,
,CHARLEVOIX COUNTY Total,,,,,,,,
,CHEBOYGAN COUNTY,"ALOHA, TOWNSHIP OF",8/16/12,,,,,,
,,"ALOHA, TOWNSHIP OF Total",,,,,,,
,,"BEAUGRAND, TOWNSHIP OF",8/16/12,,,,,,
,,"BEAUGRAND, TOWNSHIP OF Total",,,,,,,
,,"BENTON, TOWNSHIP OF",8/16/12,,,,,,
,,"BENTON, TOWNSHIP OF Total",,,,,,,
,,"BURT, TOWNSHIP OF",8/16/12,,,,,,
,,"BURT, TOWNSHIP OF Total",,,,,,,
,,CHEBOYGAN COUNTY ALL JURISDICTIONS,8/16/12,,,,,,
,,CHEBOYGAN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"CHEBOYGAN, CITY OF",8/16/12,,,,,,
,,"CHEBOYGAN, CITY OF Total",,,,,,,
,,"ELLIS, TOWNSHIP OF",8/16/12,,,,,,
,,"ELLIS, TOWNSHIP OF Total",,,,,,,
,,"GRANT, TOWNSHIP OF",8/16/12,,,,,,
,,"GRANT, TOWNSHIP OF Total",,,,,,,
,,"HEBRON, TOWNSHIP OF",8/16/12,,,,,,
,,"HEBRON, TOWNSHIP OF Total",,,,,,,
,,"INVERNESS, TOWNSHIP OF",8/16/12,,,,,,
,,"INVERNESS, TOWNSHIP OF Total",,,,,,,
,,"KOEHLER, TOWNSHIP OF",8/16/12,,,,,,
,,"KOEHLER, TOWNSHIP OF Total",,,,,,,
,,"MACKINAW, TOWNSHIP OF",8/16/12,,,,,,
,,"MACKINAW, TOWNSHIP OF Total",,,,,,,
,,"MENTOR, TOWNSHIP OF",8/16/12,,,,,,
,,"MENTOR, TOWNSHIP OF Total",,,,,,,
,,"MULLETT, TOWNSHIP OF",8/16/12,,,,,,
,,"MULLETT, TOWNSHIP OF Total",,,,,,,
,,"MUNRO, TOWNSHIP OF",8/16/12,,,,,,
,,"MUNRO, TOWNSHIP OF Total",,,,,,,
,,"NUNDA, TOWNSHIP OF",8/16/12,,,,,,
,,"NUNDA, TOWNSHIP OF Total",,,,,,,
,,"TUSCARORA, TOWNSHIP OF",8/16/12,,,,,,
,,"TUSCARORA, TOWNSHIP OF Total",,,,,,,
,,"WAVERLY, TOWNSHIP OF",8/16/12,,,,,,
,,"WAVERLY, TOWNSHIP OF Total",,,,,,,
,,"WILMOT, TOWNSHIP OF",8/16/12,,,,,,
,,"WILMOT, TOWNSHIP OF Total",,,,,,,
,,"WOLVERINE, VILLAGE OF",8/16/12,,,,,,
,,"WOLVERINE, VILLAGE OF Total",,,,,,,
,CHEBOYGAN COUNTY Total,,,,,,,,
,CHIPPEWA COUNTY,BAY MILLS INDIAN COMMUNITY,10/16/14,,,,,,
,,BAY MILLS INDIAN COMMUNITY Total,,,,,,,
,,"BAY MILLS, TOWNSHIP OF",10/16/14,,,,,,
,,"BAY MILLS, TOWNSHIP OF Total",,,,,,,
,,"BRUCE, TOWNSHIP OF",10/16/14,,,,,,
,,"BRUCE, TOWNSHIP OF Total",,,,,,,
,,CHIPPEWA COUNTY ALL JURISDICTIONS,10/16/14,,,,,,
,,CHIPPEWA COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"CHIPPEWA, TOWNSHIP OF",10/16/14,,,,,,
,,"CHIPPEWA, TOWNSHIP OF Total",,,,,,,
,,"DAFTER, TOWNSHIP OF",10/16/14,,,,,,
,,"DAFTER, TOWNSHIP OF Total",,,,,,,
,,"DE TOUR, VILLAGE OF",10/16/14,,,,,,
,,"DE TOUR, VILLAGE OF Total",,,,,,,
,,"DETOUR, TOWNSHIP OF",10/16/14,,,,,,
,,"DETOUR, TOWNSHIP OF Total",,,,,,,
,,"DRUMMOND ISLAND, TOWNSHIP OF",10/16/14,,,,,,
,,"DRUMMOND ISLAND, TOWNSHIP OF Total",,,,,,,
,,"HULBERT, TOWNSHIP OF",10/16/14,,,,,,
,,"HULBERT, TOWNSHIP OF Total",,,,,,,
,,"KINROSS, CHARTER TOWNSHIP OF",10/16/14,,,,,,
,,"KINROSS, CHARTER TOWNSHIP OF Total",,,,,,,
,,"PICKFORD, TOWNSHIP OF",10/16/14,,,,,,
,,"PICKFORD, TOWNSHIP OF Total",,,,,,,
,,"RABER, TOWNSHIP OF",10/16/14,,,,,,
,,"RABER, TOWNSHIP OF Total",,,,,,,
,,"RUDYARD, TOWNSHIP OF",10/16/14,,,,,,
,,"RUDYARD, TOWNSHIP OF Total",,,,,,,
,,"SAULT SAINTE MARIE, CITY OF",10/16/14,,,,,,
,,"SAULT SAINTE MARIE, CITY OF Total",,,,,,,
,,"SOO, TOWNSHIP OF",10/16/14,,,,,,
,,"SOO, TOWNSHIP OF Total",,,,,,,
,,"SUGAR ISLAND, TOWNSHIP OF",10/16/14,,,,,,
,,"SUGAR ISLAND, TOWNSHIP OF Total",,,,,,,
,,"SUPERIOR, TOWNSHIP OF",10/16/14,,,,,,
,,"SUPERIOR, TOWNSHIP OF Total",,,,,,,
,,"TROUT LAKE, TOWNSHIP OF ",10/16/14,,,,,,
,,"TROUT LAKE, TOWNSHIP OF  Total",,,,,,,
,,"WHITEFISH, TOWNSHIP OF",10/16/14,,,,,,
,,"WHITEFISH, TOWNSHIP OF Total",,,,,,,
,CHIPPEWA COUNTY Total,,,,,,,,
,CLARE COUNTY,CLARE COUNTY ALL JURISDICTIONS,12/3/10,,,,,,
,,CLARE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"CLARE, CITY OF",12/3/10,,,,,,
,,"CLARE, CITY OF Total",,,,,,,
,,"FARWELL, VILLAGE OF",12/3/10,,,,,,
,,"FARWELL, VILLAGE OF Total",,,,,,,
,,"FREEMAN, TOWNSHIP OF",12/3/10,,,,,,
,,"FREEMAN, TOWNSHIP OF Total",,,,,,,
,,"FROST, TOWNSHIP OF",12/3/10,,,,,,
,,"FROST, TOWNSHIP OF Total",,,,,,,
,,"GARFIELD, TOWNSHIP OF",12/3/10,,,,,,
,,"GARFIELD, TOWNSHIP OF Total",,,,,,,
,,"GRANT, TOWNSHIP OF",12/3/10,,,,,,
,,"GRANT, TOWNSHIP OF Total",,,,,,,
,,"GREENWOOD, TOWNSHIP OF",12/3/10,,,,,,
,,"GREENWOOD, TOWNSHIP OF Total",,,,,,,
,,"HARRISON, CITY OF",12/3/10,,,,,,
,,"HARRISON, CITY OF Total",,,,,,,
,,"HAYES, TOWNSHIP OF",12/3/10,,,,,,
,,"HAYES, TOWNSHIP OF Total",,,,,,,
,,"LINCOLN, TOWNSHIP OF",12/3/10,,,,,,
,,"LINCOLN, TOWNSHIP OF Total",,,,,,,
,,"REDDING, TOWNSHIP OF",12/3/10,,,,,,
,,"REDDING, TOWNSHIP OF Total",,,,,,,
,,"SHERIDAN, TOWNSHIP OF",12/3/10,,,,,,
,,"SHERIDAN, TOWNSHIP OF Total",,,,,,,
,,"SUMMERFIELD, TOWNSHIP OF",12/3/10,,,,,,
,,"SUMMERFIELD, TOWNSHIP OF Total",,,,,,,
,,"SURREY, TOWNSHIP OF",12/3/10,,,,,,
,,"SURREY, TOWNSHIP OF Total",,,,,,,
,,"WINTERFIELD, TOWNSHIP OF",12/3/10,,,,,,
,,"WINTERFIELD, TOWNSHIP OF Total",,,,,,,
,CLARE COUNTY Total,,,,,,,,
,CLINTON COUNTY,"BATH,  CHARTER TOWNSHIP OF",5/3/11,,,,,,
,,"BATH,  CHARTER TOWNSHIP OF Total",,,,,,,
,,"BENGAL, TOWNSHIP OF",5/3/11,,,,,,
,,"BENGAL, TOWNSHIP OF Total",,,,,,,
,,"BINGHAM, TOWNSHIP OF",5/3/11,,,,,,
,,"BINGHAM, TOWNSHIP OF Total",,,,,,,
,,CLINTON COUNTY ALL JURISDICTIONS,5/3/11,,,,,,
,,CLINTON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"DALLAS, TOWNSHIP OF",5/3/11,,,,,,
,,"DALLAS, TOWNSHIP OF Total",,,,,,,
,,"DEWITT, CHARTER TOWNSHIP OF",5/3/11,,,,,,
,,"DEWITT, CHARTER TOWNSHIP OF Total",,,,,,,
,,"DEWITT, CITY OF",5/3/11,,,,,,
,,"DEWITT, CITY OF Total",,,,,,,
,,"DUPLAIN, TOWNSHIP OF",5/3/11,,,,,,
,,"DUPLAIN, TOWNSHIP OF Total",,,,,,,
,,"EAGLE, TOWNSHIP OF",5/3/11,,,,,,
,,"EAGLE, TOWNSHIP OF Total",,,,,,,
,,"EAGLE, VILLAGE OF",5/3/11,,,,,,
,,"EAGLE, VILLAGE OF Total",,,,,,,
,,"EAST LANSING, CITY OF",8/16/11,,,,,,
,,"EAST LANSING, CITY OF Total",,,,,,,
,,"ELSIE, VILLAGE OF",5/3/11,,,,,,
,,"ELSIE, VILLAGE OF Total",,,,,,,
,,"ESSEX, TOWNSHIP OF",5/3/11,,,,,,
,,"ESSEX, TOWNSHIP OF Total",,,,,,,
,,"FOWLER, VILLAGE OF",5/3/11,,,,,,
,,"FOWLER, VILLAGE OF Total",,,,,,,
,,"GRAND LEDGE, CITY OF",5/3/11,,,,,,
,,"GRAND LEDGE, CITY OF Total",,,,,,,
,,"GREENBUSH, TOWNSHIP OF",5/3/11,,,,,,
,,"GREENBUSH, TOWNSHIP OF Total",,,,,,,
,,"HUBBARDSTON, VILLAGE OF",1/16/15,,,,,,
,,"HUBBARDSTON, VILLAGE OF Total",,,,,,,
,,"LANSING, CITY OF",8/16/11,,,,,,
,,"LANSING, CITY OF Total",,,,,,,
,,"LEBANON, TOWNSHIP OF",5/3/11,,,,,,
,,"LEBANON, TOWNSHIP OF Total",,,,,,,
,,"MAPLE RAPIDS, VILLAGE OF",5/3/11,,,,,,
,,"MAPLE RAPIDS, VILLAGE OF Total",,,,,,,
,,"OLIVE, TOWNSHIP OF",5/3/11,,,,,,
,,"OLIVE, TOWNSHIP OF Total",,,,,,,
,,"OVID, CITY OF",9/29/11,,,,,,
,,"OVID, CITY OF Total",,,,,,,
,,"OVID, TOWNSHIP OF",5/3/11,,,,,,
,,"OVID, TOWNSHIP OF Total",,,,,,,
,,"RILEY, TOWNSHIP OF ",5/3/11,,,,,,
,,"RILEY, TOWNSHIP OF  Total",,,,,,,
,,"ST. JOHNS, CITY OF",5/3/11,,,,,,
,,"ST. JOHNS, CITY OF Total",,,,,,,
,,"VICTOR, TOWNSHIP OF",5/3/11,,,,,,
,,"VICTOR, TOWNSHIP OF Total",,,,,,,
,,"WATERTOWN, CHARTER TOWNSHIP OF",5/3/11,,,,,,
,,"WATERTOWN, CHARTER TOWNSHIP OF Total",,,,,,,
,,"WESTPHALIA, TOWNSHIP OF",5/3/11,,,,,,
,,"WESTPHALIA, TOWNSHIP OF Total",,,,,,,
,,"WESTPHALIA, VILLAGE OF",5/3/11,,,,,,
,,"WESTPHALIA, VILLAGE OF Total",,,,,,,
,CLINTON COUNTY Total,,,,,,,,
,CRAWFORD COUNTY,"BEAVER CREEK, TOWNSHIP OF",4/17/12,,,,,,
,,"BEAVER CREEK, TOWNSHIP OF Total",,,,,,,
,,CRAWFORD COUNTY ALL JURISDICTIONS,4/17/12,,,,,,
,,CRAWFORD COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"FREDERIC, TOWNSHIP OF",4/17/12,,,,,,
,,"FREDERIC, TOWNSHIP OF Total",,,,,,,
,,"GRAYLING, CITY OF",4/17/12,,,,,,
,,"GRAYLING, CITY OF Total",,,,,,,
,,"GRAYLING, TOWNSHIP OF",4/17/12,,,,,,
,,"GRAYLING, TOWNSHIP OF Total",,,,,,,
,,"LOVELLS, TOWNSHIP OF",4/17/12,,,,,,
,,"LOVELLS, TOWNSHIP OF Total",,,,,,,
,,"MAPLE FOREST, TOWNSHIP OF",4/17/12,,,,,,
,,"MAPLE FOREST, TOWNSHIP OF Total",,,,,,,
,,"SOUTH BRANCH,  TOWNSHIP OF",4/17/12,,,,,,
